Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
2285	71.04	63.14	2871.91	***	3006.09	15.03	***	2179	6602.37	4119	20.59
2286	68.69	50.25	2802.82	***	2921.76	14.61	***	2180	6605.4	4014	20.07
2287	67.65	51.76	2753.02	***	2872.43	14.36	***	2181	6608.43	3947	19.73
2288	62.75	51.73	2709.25	***	2823.73	14.12	***	2182	6611.46	3877	19.39
2289	55.62	47.39	2649.54	***	2752.55	13.76	***	2183	6614.49	3781	18.91
2290	54.73	42.37	2587.43	***	2684.53	13.42	***	2184	6617.52	3687	18.43
2291	56.3	44.53	2559.52	***	2660.35	13.3	***	2185	6620.55	3647	18.23
2292	59.8	48.84	2522.37	***	2631.01	13.16	***	2186	6623.58	3609	18.05
2293	55.12	40.96	2471.67	***	2567.75	12.84	***	2187	6626.61	3518	17.59
2294	52.41	45.98	2431.34	***	2529.73	12.65	***	2188	6629.64	3453	17.27
2295	62.51	53.87	2410.28	***	2526.66	12.63	***	2189	6632.67	3439	17.2
2296	58.87	48.85	2385.62	***	2493.34	12.47	***	2190	6635.7	3396	16.98
2297	56.03	52.46	2352.38	***	2460.87	12.3	***	2191	6638.73	3334	16.67
2298	60.42	61.06	2332.9	***	2454.38	12.27	***	2192	6641.76	3331	16.66
2299	64.04	68.92	2317.67	***	2450.63	12.25	***	2193	6644.79	3326	16.63
2300	64.67	61.06	2292.77	***	2418.5	12.09	***	2194	6647.82	3300	16.5
2301	65.18	68.22	2269.17	***	2402.57	12.01	***	2195	6650.85	3259	16.3
2302	65.2	66.08	2233.3	***	2364.58	11.82	***	2196	6653.88	3211	16.05
2303	66.18	59.62	2203.08	***	2328.88	11.64	***	2197	6656.91	3169	15.85
2304	64.92	58.89	2168.41	***	2292.22	11.46	***	2198	6659.94	3106	15.53
2305	67.69	61.04	2128.21	***	2256.94	11.28	***	2199	6662.97	3061	15.3
2306	64.56	48.86	2066.25	***	2179.67	10.9	***	2200	6666.0	2955	14.78
2307	69.28	43.11	2023.55	***	2135.94	10.68	***	2201	6669.03	2897	14.48
2308	70.11	55.26	1972.32	***	2097.69	10.49	***	2202	6672.06	2849	14.24
2309	64.45	71.01	1915.77	***	2051.23	10.26	***	2203	6675.09	2773	13.87
2310	62.79	66.77	1848.34	***	1977.9	9.89	***	2204	6678.12	2676	13.38
2311	68.52	50.98	1812.61	***	1932.11	9.66	***	2205	6681.15	2617	13.09
2312	66.34	56.02	1765.34	***	1887.7	9.44	***	2206	6684.18	2565	12.82
2313	64.3	46.72	1707.25	***	1818.27	9.09	***	2207	6687.21	2461	12.3
2314	60.32	52.45	1645.41	***	1758.18	8.79	***	2208	6690.24	2378	11.89
2315	60.62	62.38	1622.31	***	1745.31	8.73	***	2209	6693.27	2363	11.81
